advisor_id,company_name,fund_id,fund_short_name,id,inception_date,initial_unit_value,manager_id,manager_name,manager_name_real,nav,price_date,ret_1m,ret_1y,ret_2y,ret_3m,ret_3y,ret_4y,ret_5y,ret_6m,ret_incep,ret_incep_a,ret_ytd
CO00000AKW,巴郡投资,HF00000VQB,巴郡回报通,45,2010-01-01,1.0,PL0000072Z,林耀斌,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000072Z"">林耀斌</a>",6.51,2015-07-31,0.034412,0.298739,1.010251,0.130944,1.909123,2.908074,4.400755,0.128089,5.51,0.405801,0.144587
CO0000015P,持赢投资,HF00000674,持赢QJ,46,2013-08-01,1.0,PL000002SC,钱骏,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002SC"">钱骏</a>",6.385815,2015-08-17,-0.020774,2.40055,5.353906,-0.244163,,,,0.625999,5.385815,1.527017,0.291427
CO00000168,Optimus Prime Fund,HF000006AU,Optimus Prime Fund,47,2011-09-30,1000.0,PL000002TC,王明全,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002TC"">王明全</a>",6331.39,2015-07-31,0.010237,0.147592,1.01221,0.101583,5.077142,,,0.245866,5.33139,0.618403,0.17721
CO000002GR,花蝴蝶期货工作室,HF00000BQA,融和对冲套利,48,2014-01-02,1.0,PL00000790,彭瑶,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000790"">彭瑶</a>",6.254726,2015-08-17,-0.082487,1.716821,,0.150352,,,,0.500847,5.254726,2.183233,0.82684
CO0000005K,明达资产,HF0000000G,华润信托-明达,49,2005-11-28,100.0,PL0000006H,刘明达,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000006H"">刘明达</a>",191.08,2015-07-31,-0.122157,0.648484,0.630359,-0.132598,0.977787,0.596007,0.834546,0.154981,5.25455,0.20883,0.165227
,,HF000008MD,龙3,50,2014-04-01,1.0,PL000003BJ,周建旗,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003BJ"">周建旗</a>",6.193055,2015-06-08,0.038406,4.465369,,0.279716,,,,2.000431,5.193055,3.772827,2.000431
CO000000K5,立华投资,HF000002HY,立华合伙1期,51,2008-09-26,1.0,PL000000K4,王政,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000K4"">王政</a>",6.0819,2015-04-30,0.139722,1.240936,1.251555,0.477229,1.85428,2.020561,2.739256,0.853447,5.0819,0.315511,0.435257
CO000001D9,固利资产,HF0000087R,固利资产股票基金1号,52,2013-01-04,1.0,PL0000038J,黄平,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000038J"">黄平</a>",6.071788,2014-10-10,0.010154,0.648654,,0.413107,,,,0.82918,5.071788,1.802912,0.920419
CO000000QP,淘利资产,HF0000093G,淘利策略指数进取1号,53,2013-10-24,1.0,"PL000000VB,PL000002D9","陈莹,肖辉","<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000VB"">陈莹</a>, <a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002D9"">肖辉</a>",6.0303,2015-05-15,-0.032753,4.736041,,0.567248,,,,1.558464,5.0303,2.11061,0.628578
CO0000002U,国联证券,HF000007MX,国联定增精选3号B,54,2014-03-07,1.0,PL000002MD,周高华,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002MD"">周高华</a>",5.9556,2015-03-27,0.578562,5.018189,,1.453691,,,,1.405914,4.9556,4.9556,1.453691
CO000003CC,安逸持投资,HF00000ES3,安逸持安心2号,55,2015-01-12,1.0,PL000005N9,崔炜,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000005N9"">崔炜</a>",5.94,2015-07-31,-0.003356,,,1.048276,,,,4.4,4.94,34.2836,
CO000000DS,涌金投资,HF0000010P,华润信托-亿龙中国,56,2006-04-18,100.0,PL000000H5,刘红海,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000H5"">刘红海</a>",592.76,2015-07-31,0.021894,0.652661,0.869375,0.070157,0.838757,0.685893,0.663187,0.22862,4.9276,0.212145,0.261638
CO0000015Q,大观投资,HF00000A09,大观新兴主题精选1号,57,2014-09-12,1.0,PL000003PJ,徐志霖,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003PJ"">徐志霖</a>",5.911937,2015-08-14,0.149425,,,-0.335811,,,,2.247066,4.911937,5.948436,3.692013
CO00000104,涌峰投资,HF000000PM,云南信托-中国龙进取,58,2004-06-15,1.0,PL000001GE,李莉芳,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000001GE"">李莉芳</a>",2.09,2015-08-07,0.024309,0.370223,0.597127,-0.239059,0.892089,0.655577,0.593474,0.05004,4.901879,0.172314,0.099248
CO000003CC,安逸持投资,HF00000ELL,安逸持安心1号,59,2015-01-12,1.0,PL000005N9,崔炜,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000005N9"">崔炜</a>",5.69,2015-07-31,-0.001754,,,1.010601,,,,3.064286,4.69,31.3761,
CO000000FN,源乐晟,HF000000WT,中融信托-乐晟精选,60,2008-07-08,1.0,PL0000001W,曾晓洁,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000001W"">曾晓洁</a>",5.5528,2015-08-07,0.004468,1.262662,1.079545,-0.178701,1.344042,1.26082,1.265155,0.423466,4.5528,0.273819,0.737476
